Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,80886065110.49,71247395333.07,64989160572.54,70288432260.53,81184317665.92,94594887799.95,103483052014.09,100474855679.92,101580829248.91,114217981695.76,127182556289.61,136580265754.99,155518448869.28,195616567916.78,221665588687.63,248772601176.04,252942981187.16,291532735013.15,282919061354.68,327589016955.70,377947161288.53,403551450432.95,423850572150.82,443839881509.85,480915094642.19,526600751089.37,525182739596.11,519033465046.50,576126858481.93,622836056673.59,667410241508.28,724654932688.97,812994672964.46,892446273872.15,1074481772219.03,1325739943462.75,1523108085146.29,1576765689230.40,1441284604894.45,1587766769203.34,1748618348986.43,1862932027297.40,2063860728539.44,2337899791147.23,2712364424518.89,3140094784139.39,3783276519033.74,4787054921838.08,6062017772754.35,6581352893096.84,8008611577123.89,9774259220654.20,10905337947546.20,12047512338954.10,13004689014662.50,13548904084321.40,13844122751569.40,15115625540264.80,16902110052652.30,17503274977303.30,17805166443182.20,21231425978691.40,21563881384135.80,21644412635340.60,22260810771875.10,
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,144721677770.05,157593209302.86,159435896119.12,175994009911.13,201822394409.76,218951522604.69,216877873081.12,228982484399.54,249635352315.78,278946058537.51,296902005244.17,319666547823.28,352709582632.98,451330007897.13,632677956824.66,677326175290.99,739999717047.56,827431694414.62,944725702178.61,1111836214805.12,1382501835902.97,1531909890330.96,1460539930822.80,1474006434239.97,1494712751952.32,1490483608577.59,1498034888889.95,1521911883272.76,1606574808086.10,1634255193569.58,1915433566099.57,2032104613561.74,2207967005422.93,2381953146975.35,2502107597947.33,2616825349456.60,2836341459574.38,3029966854142.86,2921281348182.23,3090855529444.24,3378295866754.26,3351822804548.09,3255787156323.37,3622513779274.76,4209733389066.63,4897834756101.33,5600388912441.22,6631053551528.64,7461798613306.43,7179119134034.64,8719722451021.04,9832704039068.24,10275142735646.40,10330333855700.20,10533364326771.50,10127250782286.20,10423237803666.10,11320553240043.80,11478917653356.50,11686574879191.10,10823343545638.30,12695008338487.80,14034689936337.30,14933453330998.30,15808304487948.10,
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,157319051227.59,158550649387.07,162276885099.76,181110123774.70,207928170527.11,231441256707.03,258961623498.60,281428064740.65,310918325049.37,358520931889.83,412911499094.70,458861299357.06,570488659290.28,751994474883.85,867697064525.54,949601251437.20,1044586002622.97,1244835424362.48,1572466264984.33,1707937978688.00,1847683906919.31,2035238690119.80,1993801305392.76,2122245718331.55,2270398820971.54,2394790644030.33,3129485037094.75,3674655679101.68,4417683853665.45,4601033436533.33,4803290180331.83,5427202639061.34,5932829360031.94,6636847751412.67,7425405636883.66,8434543754117.74,8130483838052.50,7772693781558.03,6955954583769.84,7773840546154.07,8412453304524.13,7826463883839.79,7956172633989.70,8753448863353.34,9819681145695.01,10482706260278.90,11119747675836.30,12437519828885.70,14343483215174.20,14764315682393.80,17239317220822.10,19978722203920.90,21382308600766.10,21659293723344.20,22372206647098.10,22299105656919.60,23089672188769.40,24656162308335.20,26853593303707.30,27427259967363.20,27578839610232.40,31675719814404.90,31266291368260.60,31417826880875.00,32017179839273.00,
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,235133242045.12,260714658021.75,296012494754.96,354156720158.53,341086296065.28,328451120556.59,339235852060.50,265716719680.27,373845229870.83,395413043255.68,420614588838.23,421386465145.89,384488217104.01,391259402609.02,335649212545.44,390532064568.54,498092410579.85,641341376416.65,798897294908.65,929637643372.55,1171542215920.56,1402429749896.00,1169814065612.09,1385078523367.67,1574244960285.95,1658983451713.25,1808692800315.95,1735229369225.69,1510474002479.16,1450171284448.80,1499595960769.30,1477488205993.51,1508679974755.36,1446077189727.52,1680958734568.53,1820242864725.10,2143244215113.25,2451180144505.47,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,426666341076.39,469524853748.69,513405546288.52,561372802906.34,620449239016.73,676603823141.81,731699507285.10,777321336439.05,818734190049.16,907972467404.46,1020812176391.15,1152050722008.06,1381315333741.31,1757146541396.18,1985792691039.95,2319533111918.75,2411368600960.78,2728001349943.93,3344297397044.40,4077590131182.29,4609261411538.92,4105756738593.04,3957248458690.98,3837932762271.18,3689517973067.84,3817565719211.53,5207541274400.03,6431748582275.98,7161818798652.39,7257702652999.90,8870877140631.40,9137253599154.58,9787841972924.53,8995004729126.83,9408650267542.72,10942224071349.10,11170753659602.90,10606870959652.70,10802596787884.90,10693108477805.90,10084357140368.80,10189029938417.10,11156577456679.80,13567083586398.50,15814841560656.90,16835012218380.20,18236819891061.40,21308302318715.60,23453627549028.20,20648444471712.40,21118677014368.30,23432000301407.50,22560574822089.80,23574066317473.40,23920533649825.00,20603435735279.50,20528432079127.40,21791487069281.70,23342642668393.30,23067540030248.60,22322527185686.70,25572901699926.60,25798700454390.60,27732942821913.50,29291828957768.80,
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,2069464937.20,1753850955.06,1518207703.49,1824343870.71,2244146102.98,2387047395.70,2429308638.84,2553595172.09,2582179864.15,3112165727.38,2862503139.00,2754219271.03,3185986087.34,3891754150.24,6599257044.12,7731674472.07,9091921030.17,11026342618.11,11922497876.48,14175160902.07,17881508242.45,21810759353.73,19929846396.42,17152477036.50,16912509091.86,17149088413.35,15314138472.33,13945426859.47,13051881851.41,13890823704.55,15239272611.58,16988535267.63,18094238119.06,18938717358.68,22708673336.67,24432884442.22,25226393196.60,28162053026.51,27981896948.47,19645272636.32,17539454727.36,23127055000.00,27054197000.00,30965208000.00,35194947000.00,40278849000.00,45690762000.00,49848725000.00,61139438000.00,60094978000.00,68151329000.00,78986648000.00,87735048000.00,96570334000.00,102717794000.00,97209558000.00,97671433000.00,104467486000.00,107478961000.00,107595830000.00,95865473000.00,107179074000.00,116133121000.00,121147057000.00,124676074700.00,
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,4206270352.23,4494575611.21,4035462027.40,4187146231.57,4709245761.68,4948667540.41,5278005611.91,5605484298.98,5932242990.65,6524455205.81,8042200452.15,8609283346.09,9299638055.84,10098534613.44,9228963224.60,11632178868.92,13315988083.42,14400806875.99,14811704063.07,18020571428.57,21669908176.39,22136081081.08,27655172413.79,30966239813.74,33971188991.61,39053502251.07,41253507951.36,40455616653.57,34980124929.02,39756299049.98,42978914311.35,37387836490.53,41855986519.42,46578631452.58,51897983392.65,60159245060.45,67629716981.13,78436578171.09,84828807556.08,90710704806.84,99838543960.08,96684636118.60,85146067415.73,80288461538.46,78782467532.47,89660339660.34,107426086956.52,130437828371.28,162818181818.18,189147005444.65,218983666061.71,235989672977.63,279116666666.67,288434108527.13,305595408895.27,329366576819.41,332441717791.41,248362771739.13,262588632526.73,318678815489.75,383817841547.10,424671765455.70,476747720364.74,395926075163.01,389059911003.57,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,251618036413.21,280078203910.32,309694923223.86,340786490149.60,377598986539.21,412774576471.61,446517615235.84,474428505593.99,509988879945.72,569734708021.54,645500835842.67,731657047532.38,883626753918.74,1146929346320.65,1300640475270.60,1507769269988.61,1573201555133.45,1790121849729.20,2191877722237.84,2655412251166.70,2973694924193.75,2583763815177.70,2500976094855.11,2440096224414.65,2341108054746.11,2404986753295.59,3377295853623.19,4177529771751.75,4594903614804.26,4693107413339.75,5905615266811.65,6127707302712.63,6750506224912.11,6180487033219.20,6531158637825.70,7540043718350.13,7629501026055.96,6977670410602.33,7174357611624.96,7148860255013.26,6528628817962.73,6631899417554.06,7241862819845.99,8921228124667.76,10231007049211.60,10611825457675.70,11288300255552.10,13000311540976.40,14295718485782.50,13083077526585.90,12784744616370.50,13808563263632.60,12784947379630.90,13357283141903.10,13682058707498.00,11829834353286.10,12123283574466.50,12841960349280.80,13871778197583.70,13589774677631.30,13267554461613.60,14924551716260.40,14488160081806.70,15854782417877.00,16485444160371.00,
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477101651.65,467872714.76,531688311.69,578015625.00,693535954.19,686490090.14,745523116.90,688918537.12,706370815.58,752371688.74,729321680.15,870248267.55,1109054005.44,1098424685.66,1211161879.67,1317974491.06,1380188800.00,1856695551.22,1589515447.15,2065001626.02,,,,,,,,,,,,,,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,12424514013.76,14238126759.73,16609632790.58,19631714759.65,21966876027.25,25479619606.53,29559436182.92,32570905397.29,32394326463.76,37090689287.86,40963715236.51,46586119760.48,59090176028.99,78583355225.59,97204522642.05,114695060869.57,118422534195.47,132354665936.47,160484969618.06,214448666336.14,232600556973.78,202663023968.28,195856752991.07,170829074245.94,171979977230.39,180664322896.28,251141555185.93,318520253335.13,375891716897.59,414460794096.98,536175326477.31,576753902321.86,630465353486.10,524700572623.87,530183651720.28,614170002668.80,642251412058.32,589739772727.27,618731484575.12,634394904386.87,598102854756.08,627798682378.74,708938227243.92,907963217057.65,1069829382514.67,1154667551775.88,1261846683275.29,1476746276854.51,1636115447612.50,1496587590847.66,1427989078916.67,1487568659241.25,1330994811670.31,1362186923157.65,1380244561361.96,1206164777553.12,1243015667917.12,1321754088818.83,1431642809327.06,1403496387686.27,1289783836971.21,1461244901852.69,1448850658406.62,1619481980719.64,1725671652742.19,
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4013091682.29,4123011419.74,4502970889.06,4786018988.16,5154420649.23,5674080542.89,5756912265.76,5686579747.54,6250218422.70,7370119619.48,9876595528.46,12148595031.06,14109491356.80,17025671810.31,22450264166.44,24342935403.54,19633984440.12,19524355419.04,23303915794.76,23237406116.40,25451032780.76,27055689003.00,23311847750.94,24561027787.79,27469461919.12,31222632740.72,31873748770.03,31820771493.90,37201101170.58,38226641740.29,41470344395.11,43130419829.35,
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1610511693.84,1680859514.10,1747566307.10,1825058827.84,1984129185.60,2159998591.20,2324466416.00,2461762002.80,2619948864.80,2768987372.00,3045354454.80,3224280834.97,3520252938.26,4070570549.86,4577209966.18,4577047854.11,4943806093.24,5651840584.54,6014961434.78,6586048398.07,7012585454.11,7507663566.67,7899988840.58,8781664427.05,8298309580.68,9717392686.96,10094328898.07,10790001557.97,11181119717.87,11762932007.25,12478943895.17,13799799323.67,10754799036.57,9051043870.12,7100806753.93,7855205206.93,8761215548.49,8803539988.33,8013274131.70,7892973531.80,8242349617.86,8231326016.47,7850809498.17,8623691300.04,10131187261.44,12401139453.97,15280861834.60,19707616772.80,27066912635.22,32437389116.04,29933790334.34,31952763089.33,43310721414.08,47648276605.01,55612228233.52,62103418181.82,68475871209.61,76366081766.67,83337901071.97,91834517112.63,98676811061.40,109070960371.86,123140304666.00,135874093202.49,149740297952.99,
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,285151593517.87,316957315284.25,350242479710.82,384746828593.34,426774574129.45,467012617276.64,505529224628.47,538186984638.65,577537349543.93,644490038737.55,728936354558.50,823997564740.86,993807576357.32,1285760453749.93,1455564730991.18,1694691860215.15,1775046705220.48,2011021369358.25,2449229543717.81,2960086312677.68,3311398072837.09,2890050505826.48,2787868117631.33,2710862889681.46,2612656839102.00,2686730457063.81,3753266239108.06,4639614022608.17,5094084472960.00,5202884439938.86,6505695339260.16,6727631751634.05,7389295673878.14,6750807644414.01,7157908667157.89,8298352822403.70,8433614719069.70,7735885029565.07,7970103042535.26,7936107808460.76,7288481048952.25,7407615944962.44,8100430284893.67,9956860723577.65,11449101966447.20,11954349375612.00,12768357074578.40,14789471689508.00,16364455236166.70,14844813523140.00,14641773544950.60,15874713437636.10,14731876146120.70,15398507628838.60,15763596442222.60,13656252620703.30,13988147697216.60,14871313684625.80,16092403309151.50,15809073096211.40,15504055464107.40,17495226733585.20,17023612496380.40,18659133072074.80,19497115588443.60,
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,34029503593.01,35534363196.69,39268957404.89,44880094682.09,40614223625.49,44620716060.02,47607568997.47,46953517458.69,51877513129.79,58222824529.06,69337148733.78,71407461835.18,82669328910.77,102251839628.80,153919142856.21,168821163379.00,200509609303.93,221370987598.48,242767598948.43,305997104049.97,388229877017.35,510372306576.13,486768808046.11,420187399132.03,378000797274.67,384377742170.64,354355843392.20,356312604369.47,387019746762.66,383035643113.57,546007306640.06,386413970742.20,344196008915.93,350711816129.84,352567008669.32,430901808099.08,465760648426.24,521200354329.85,535179642435.45,399400020821.85,466929248691.91,457048079382.21,446089285308.40,469847559925.42,595876444368.30,756354101430.87,947253259627.88,1160668758510.72,1484312853576.30,1342615105225.82,1596645964256.64,1665506572724.03,1855874824709.61,1825595058878.45,1787605499773.02,1481660318787.67,1358130757341.27,1443031828638.41,1556210403398.50,1811454247630.60,1610227321244.27,1740335947472.93,1918272363969.18,1778723185468.20,1652895518697.74,
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,5279481824.13,5984433774.42,6407796042.70,6958916548.13,7848987792.54,8680393838.88,9306142171.60,9468272357.10,8916565040.55,10177524838.90,11358529161.95,12528522307.47,14744499569.83,19474098335.15,24851036710.26,29475251333.44,31852352669.64,33502784417.88,36259392057.76,44469218439.93,53649984061.21,52440066133.92,52784013815.22,50956447480.79,52870993272.66,55856676899.46,73511611541.17,91564993913.16,109039090262.97,118991270611.06,141446120354.53,127794441993.82,112537828510.75,89112105756.22,103182697780.31,134060457516.34,131991975148.85,126862902302.14,133990876724.52,135234241918.15,125967821110.59,129519672868.90,140360963811.77,171612867735.69,197458297639.77,204859368790.66,217044068234.12,256360251537.65,285698662071.09,253480783439.45,249429613683.33,275126915515.57,257443384492.97,270268036626.28,273478528954.90,233210733506.25,238777818792.61,253846138440.00,273869255596.08,267014821129.41,270000311606.23,294223210496.12,280253099309.34,295021982462.75,298696961297.66,
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,112328422.11,116987784.91,122906434.96,129454728.62,140032741.47,147084750.03,150603925.52,162625885.86,166952937.14,182182067.70,219878482.17,247749327.72,316656648.70,425950487.52,558587097.38,684282434.36,694540806.38,719501765.78,829267889.43,1019691460.17,1202618816.21,1235626770.51,1194059943.22,1123085190.07,1178000678.00,1141168943.98,1290267339.65,1177947965.12,1110009522.76,1182660265.77,1337017559.50,1383883249.59,1532411039.05,1636101246.94,1825732092.55,1970301486.21,2128696643.63,2090221137.03,1653146716.58,1936459986.04,1678219507.90,1652462023.46,1833279985.37,2300492465.32,2708078476.63,2980403844.72,3076305452.87,3378314599.76,3523185919.56,2870624635.68,3140166712.80,3779411899.37,3972028104.47,4189967998.51,4857104768.87,4682479893.98,4930213644.37,5353469174.48,5581425327.44,5344907153.47,4227719873.39,4158873156.18,4977861885.60,5476673518.14,5968125909.27,
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,61959085885.34,67158050215.05,75196980365.03,84227606649.87,93424179943.35,100927668584.29,109306730313.22,118088635380.95,128710572572.44,140660914840.59,147312861698.36,164694210962.47,201738881664.50,261970536240.42,282739225313.69,357324307786.45,368363152144.22,406401711687.62,501724418604.65,608218624730.19,694529183483.39,609184791792.40,578152310609.84,553356312935.71,525033325827.52,547220981165.13,764946585850.93,926320855614.97,1010827662151.75,1016742237302.08,1257649439826.53,1258961748633.88,1389663073110.28,1314383368079.69,1385822778827.98,1595219345511.89,1598889216566.23,1449392222971.45,1496906382032.47,1486915879701.93,1360959069477.49,1370376677298.86,1492427756382.43,1835095983049.09,2109792297237.03,2192146403028.17,2317861544690.82,2655816911866.56,2926802941585.86,2700075882518.98,2646230027988.34,2870408553990.28,2683007095787.23,2816077607875.26,2861236112552.42,2442483452642.50,2470407619777.13,2588868323334.71,2781576320884.39,2722793515171.76,2647926055110.05,2966433692008.09,2794788137066.94,3056250648138.29,3160442622465.08,
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,57954522.42,64397131.08,66225403.56,65186666.67,70106666.67,84933333.33,99219082.85,119335897.82,161236465.82,196771070.90,227404436.01,270470345.45,347798304.64,397833034.88,448568492.66,493014300.01,456244919.01,444047495.32,486605127.70,426008864.69,459307281.20,688914288.88,886508622.33,968576956.93,871935350.38,960805408.95,909253214.83,912670413.33,760957189.76,758739178.61,901404709.83,989536914.66,933763083.40,1104744235.30,1127684827.36,1067109530.65,1160268212.07,1275093689.27,1501941580.89,1724770770.83,1759739599.23,2017680834.90,2339015313.30,2489873249.63,2296065170.06,2331796784.36,2505740669.27,2427200388.92,2690110520.93,2914012679.27,2573905971.05,2813278868.78,2980057377.88,3188600927.47,3266432734.23,3271813311.58,3699551717.11,3615241800.50,3943131022.23,4052937169.77,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,19885926.00,21783158.00,25100928.00,34821467.00,46095175.00,46119184.00,46813193.00,47305560.00,53656834.00,60270778.00,64186644.00,76472529.00,80055706.00,84110353.00,84676118.00,101931941.00,112210000.00,116700000.00,124700000.00,135200000.00,147200000.00,166200000.00,178100000.00,198400000.00,202500000.00,219930003.35,216545996.90,204397167.48,216520601.07,217198869.13,229616847.56,236387710.83,237654335.84,240949861.08,235538109.22,245905050.83,248583534.79,252011254.24,258124736.28,274654606.94,290638857.06,306799375.53,322838077.58,312808581.66,313994033.97,310175057.80,325000000.00,359000000.00,392000000.00,394000000.00,372902700.00,391601900.00,415956900.00,441469400.00,471425099.49,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,141468977.80,167637907.12,182796536.27,154480244.06,215679855.34,226474285.78,245849781.27,271543680.05,294468564.25,318124701.48,323802475.51,381687072.62,430508358.51,722780701.30,1544216001.66,2157592940.04,3009409974.27,2809349069.22,2389479271.67,3030251120.10,4279637942.25,3862269120.53,3618007841.14,3391275731.54,3561451560.51,3339914757.23,3403638189.20,3281797043.05,3834503376.03,4186411463.86,5952293764.85,5402919784.57,5592390827.40,4378645081.02,4190819344.22,4958845648.05,5694040002.90,5326817114.54,4483417309.83,4662992036.21,5080483628.53,5023265413.26,5335451099.88,6511903365.48,7770219008.21,9582783990.85,10327598306.46,12455409587.34,15571348344.34,12113699068.25,14372593020.29,18210307743.58,17170464016.06,17595744798.34,18203966895.84,14383107762.70,14023890265.37,14929487485.16,16867326401.96,16874405465.39,15342236163.99,19444935097.24,20440655695.18,19388372070.98,20895684425.68,
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,73233967692.10,77741965703.35,81247564156.82,86561961812.32,94407558351.16,101824755078.99,108572752102.05,113116888210.79,107759910067.89,116464702803.22,130671946244.30,148113896325.14,169965034965.04,192537971582.56,206131369798.97,241756637168.14,232614555256.07,263066457352.17,335883029721.96,438994070309.19,564947710899.37,540765675241.16,515048916841.37,489618008185.54,461487097632.35,489285164271.05,601452653180.89,745162608269.33,910122732123.80,926884816753.93,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1349094208616.06,1425287051482.06,1569317288801.57,1660821464060.95,1693458987218.90,1671597821152.97,1656171009068.66,1790536570743.41,2061227755102.04,2429774807762.72,2551361818181.82,2719558417663.29,3104699879951.98,2945251838235.29,2429358155475.93,2496740681057.14,2675590034128.66,2719715961539.83,2796908333283.39,3085362169410.29,2945579890258.46,2706807606538.73,2699118387873.10,2897028009916.05,2875710080015.30,2724001478304.59,3194559188925.93,3181244350465.41,3420796653789.08,3686033044482.13,
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,7321981333.68,8833588173.40,8902632715.25,7735927263.59,6324503311.26,3690328963.64,2701181331.31,2513867645.13,2693732611.82,3094936177.19,3510520231.21,3613497316.55,2800025882.72,3057475335.19,3219462262.01,3395766677.67,3991377904.13,5125365191.99,6410912049.87,7745250733.95,10172931088.57,12795145130.91,10766920065.83,12426907967.16,15475290469.29,16894392033.23,17517660143.69,17966015109.30,15223796148.84,15444548901.96,16473125375.07,17902544880.65,17638337116.91,16010869215.68,18853115588.81,24984568959.61,30777833600.65,34189423545.00,
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1217230094.97,1302674324.88,1382515654.47,1540797588.57,1731296199.52,2053462968.04,2126300672.23,1747187644.90,1666909517.65,1962050555.78,2215028588.46,2417108577.53,2112293279.99,3006766758.44,2894409937.89,2810106382.98,2765254237.29,3189428571.43,3662478184.99,4020227920.23,4445228215.77,4222441860.47,4035994397.76,4057275132.28,4412279843.44,4504306722.69,5735677433.83,5074829931.97,5197765031.65,5251858439.87,5889106573.46,6603185267.80,6416103925.83,5968922939.37,5446383726.77,6464382807.68,6932991739.38,6891443192.25,7482069162.42,7718109982.26,4982850662.21,5314872854.44,6166197847.85,7632723555.66,8881417906.71,10744568381.45,20885037596.70,24827339138.49,28679383241.07,26048720005.52,32197655566.53,39336668080.56,41271701060.95,62845721959.83,54678533805.91,49436806230.48,56144179397.85,60385409434.86,67259353965.61,68352629246.16,70008243859.87,79514204730.40,73919003209.99,80547146878.38,82308110386.46,
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,3220224607.82,3594302908.06,4203069035.01,5152080387.56,5691417541.34,6102769605.43,6762781870.62,6914381290.57,8087305999.06,8877094497.45,9746524915.08,9646440666.53,11926032493.43,15129893722.34,18421497251.18,22787644565.91,2909130355.24,2976714019.07,3476480303.12,3546079262.95,3888320665.52,4396178694.15,4789220416.71,4781166116.52,4932800406.93,5385704166.43,5641243099.77,5516916163.09,5232118046.37,5046806782.55,4367458866.72,4125527603.23,4301608752.51,5025167975.26,5300767960.52,4282468636.91,4220019845.26,6281918226.34,6964179983.17,6716905339.73,6853467145.53,6785137203.33,7638044556.85,8376613539.28,8778473372.82,8794201742.85,8595955222.50,10324668271.14,11857030366.79,13442861496.45,14088693742.95,17069115737.83,19910452541.92,22407615556.06,25008678293.41,
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,44212081.35,46695006.96,41160065.86,45168072.27,52296083.67,55728663.22,59160569.48,75187749.10,95796021.69,115179719.08,112190829.47,138093099.10,171833086.02,207112627.73,241083090.30,218767743.46,216050552.30,213448584.94,177340880.09,225726358.89,185646986.82,220626484.22,266672211.93,284120329.40,317083695.48,690311080.52,714254256.12,755040974.09,746493951.90,785999864.84,848239446.22,803633342.47,840285264.63,814724032.07,782913871.81,687410645.06,578235309.33,487038685.05,961900651.42,1027701067.56,1054112487.74,1279703047.02,1561766955.73,1450142508.58,1543294926.87,1409693596.94,1415004738.27,1375609453.44,1229461721.41,1378176608.93,1484578885.97,1504909462.70,1670671327.82,1813609692.50,1812170891.19,2014158842.15,2204734527.88,2382262184.68,2404888749.22,
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,204670550.76,204167296.86,227986203.30,232331281.36,256769730.26,283311996.82,292152321.49,298871674.86,318876550.43,308143183.31,287648258.26,402230865.15,430284021.88,425225176.81,359980490.73,373959151.15,338524232.57,451893374.96,427514321.53,554072302.83,634187269.24,668470890.79,588309271.29,615779518.81,612502084.80,660195402.01,702965147.57,698107222.42,591034143.43,579365780.14,391345597.49,412610871.51,466773711.24,553614800.15,582169841.30,639776040.69,634781901.25,753162998.02,952667544.04,890167833.37,940112538.94,1157074319.19,1049412177.11,1109682824.14,1135250721.04,1152384166.80,1245074264.10,1469978606.12,1554133593.92,1596227316.35,1705057581.10,1908094558.34,1859601384.06,2127688181.12,2218393804.55,
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,,,37253333.33,44266666.67,51915000.00,64748333.33,69110000.00,72317446.93,67514285.71,67225714.29,66331428.57,64946954.76,65429198.24,81203226.91,94159862.71,104295643.39,103653049.94,103987520.08,,,50642880.77,36731422.85,44294647.73,44442456.95,50320914.41,62118569.97,76407395.87,93345859.53,100534656.88,88265974.86,112119411.49,110906028.54,134707183.85,136047906.25,100807002.54,141853360.87,232463022.80,442337870.69,370687634.43,621117885.67,1045998496.44,1461139022.03,1806742742.27,2484745935.09,4410764338.67,8217369092.65,10086528698.86,13071718758.74,19749893536.32,15027795173.22,16314443436.29,21357343668.94,22388344143.91,21948834283.79,21765453081.98,13185496881.02,11240808847.89,12200913878.98,13097012133.62,11364133549.75,9893816007.74,12215878032.72,13687643435.62,12337550583.75,12765777677.06,
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,4274890306.83,4892397431.33,5140542929.42,5813285626.64,6576906345.12,7582209670.27,8472021466.87,9146592855.68,9950331205.83,11454106327.08,12957113636.36,14388806818.18,16650659090.91,22037019562.72,24998715909.09,28129128586.61,30719552238.81,35673080481.04,43654480519.48,53724121435.14,56039256594.72,51618456334.56,53858346938.78,48741397058.82,47352146311.97,47155741426.10,55595445472.25,64739630095.62,75200610136.92,78067933277.38,96529587274.29,103680863712.84,114608178405.43,107295704518.43,114980063202.25,134974613913.81,142502984144.96,138766067640.09,139612812175.72,137131371955.31,125760166224.81,132050474720.03,150253800085.87,196930509813.38,234979615898.23,242315668619.41,269073415333.68,314226996944.11,351121399546.49,326829054686.31,296417644404.03,283228079776.04,238841140018.23,236556279640.71,233911581521.06,194567373678.10,193097239005.87,200381103984.30,213298873494.39,207305649887.02,191362985554.86,218303801895.33,217990189600.69,242946187738.27,256238371778.12,
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,71494495.19,88322386.30,102244362.22,110900457.04,115651918.89,125435590.00,131803552.22,145533310.74,167728455.19,187589522.59,215009569.63,236357523.70,267327642.22,278098762.96,300757888.89,310160444.44,309812185.19,325111814.81,342172518.52,366911444.44,392190592.59,445903592.59,482009370.37,520044370.37,520444185.19,540336925.93,591018407.41,599118592.59,695555555.56,698700666.67,758683592.59,825976037.04,771275555.56,771014814.81,778655555.56,799881481.48,842618518.52,911496296.30,997007407.41,1061640740.74,1125685185.19,1166514814.81,1213485185.19,1043411111.11,1122222222.22,1224007407.41,1336418518.52,1371918518.52,
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,69520026.67,88466738.25,106101297.80,140153748.24,169918948.63,211190630.33,240779417.79,282269749.16,355987433.42,420645821.54,476051740.77,435748993.42,402403041.03,416184071.02,379371901.49,412876382.83,603016292.69,787390408.95,898607670.62,929799902.19,1018977280.33,1016500069.26,1037916162.55,927214151.77,1005887539.32,1208953287.07,1197515569.08,1072154433.85,1149858069.76,1131555107.05,1068025016.01,1086170703.98,1169136716.04,1558759823.08,1822499769.24,1849802648.36,2013106929.50,2249811295.66,2499092314.42,2529963903.23,2503167187.49,2684461375.47,2609678486.37,2684946990.12,2842065708.36,2499113022.82,2707139544.47,2851613679.03,3055782146.16,2997309971.88,3089625554.40,3293578467.57,3152334771.78,3326543974.39,,
