Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863448.77,2069870129.87,1272835453.43,1201312829.28,1315158636.68,1468317435.20,1596968946.24,1639492444.76,1893726437.26,1845482173.03,1911563668.85,2118467913.38,2376335048.40,2807061008.69,3576615240.42,4900469511.10,6384452066.51,9206301269.79,11662040713.88,8647937081.26,9260285755.62,10142111824.58,10619320682.95,11121464437.04,11609513246.80,10553337518.41,10546136235.52,11527458709.02,12457940694.74,13619290539.21,12641698583.22,13878908628.94,19513506553.13,24185982215.65,25955275380.03,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.00,524000000.00,509000000.00,500000000.00,493000000.00,518000000.00,560000000.00,675000000.00,573000000.00,570000000.00,640000000.00,638000000.00,643000000.00,673000000.00,671000000.00,612000000.00,639000000.00,647000000.00,721000000.00,750000000.00,871000000.00,,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77507407.41,88040740.74,109596296.30,132451851.85,149388888.89,166444444.44,184866666.67,212214814.81,246370370.37,297562962.96,346866666.67,411396296.30,455174074.07,478718518.52,504337037.04,525133333.33,565662962.96,625081481.48,616051851.85,679140740.74,734422222.22,789788888.89,835544444.44,901003703.70,877774074.07,898092592.59,948100000.00,1026329629.63,1143896296.30,1303674074.07,1487381481.48,1557640740.74,1386518518.52,1298348148.15,1287359259.26,1364729629.63,1325496296.30,1378707407.41,1437485185.19,1489603703.70,1534855555.56,1661529629.63,1726448148.15,1411637037.04,1602125925.93,1866566666.67,2005785185.19,2207622874.07,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18635682981.71,19713123154.10,19953923192.63,21573443451.75,23835843813.74,26014244162.28,27349284375.89,30487524878.00,32763365242.14,36738245878.12,41395206623.23,45283847245.42,52117990654.21,63923126201.15,89086219602.06,97440939505.67,105209354855.79,110504702913.51,118660813779.85,135093718050.67,150200557103.06,177151979565.77,194323071830.52,177523719680.08,193749932078.26,180861108959.10,182707050923.34,189726707252.52,236461079970.43,300264309002.14,311840666465.05,326416407860.79,325982966981.42,312568858909.50,323269456935.32,368725126225.13,401962517479.12,436321902767.41,400361527504.58,390347787943.35,416901962163.48,380360222861.20,396436967262.56,468517181129.88,615643050220.52,696811489612.82,749708370332.99,856603595823.19,1058448244063.77,931761689770.84,1152566632022.13,1402939868653.40,1552728401401.58,1583737461925.39,1474677007565.64,1356805839935.90,1211588128417.61,1330890554614.09,1433144978761.67,1398349602956.35,1333336461648.09,1560617493202.69,1695627535475.80,1734451264655.60,1757022451652.83,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6624086313.14,7346566037.83,7793042529.16,8414050621.02,9213648655.98,10041659445.12,10939526218.64,11634569521.93,12499863917.10,13647475854.03,15312791743.85,17788536733.12,21973207929.04,29399860144.77,35051468639.58,39902300703.17,42791707448.03,51343861460.33,61809208755.80,73647694287.18,81737498404.59,70755997062.38,70996111962.57,71838528420.41,67719055773.33,69114996009.58,98648254168.54,123682091858.95,132817124707.46,132584448257.93,165811372382.91,173113449616.97,194314032056.10,189634029338.70,202738023129.74,240094169510.03,235952581232.13,211724812267.45,217068085815.92,216421809125.92,196181599831.29,196477206829.33,212837224022.81,260779834340.10,299210411454.82,313952317330.78,333905979332.48,386760177589.50,429234399096.17,399290118782.43,389827789217.63,428954737064.06,406750487603.59,426580502769.42,438556021078.03,379546097300.63,393687359770.27,414926138132.69,452582294972.78,442983642371.84,434397601557.70,480466363176.81,473221298968.22,516670509628.88,534790720466.82,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848484.85,5344000000.00,444658671.59,1570392598.15,1193141110.35,2417331192.95,3176507376.32,3962362387.48,4446368570.69,4581248566.50,5272615722.97,5707616203.72,6236087738.28,7276413079.11,8680405740.94,13245421880.83,20981929497.62,33049419431.22,48851293785.45,44292427184.95,52909294791.93,65952796427.95,69679944504.20,74160560123.69,75239785452.10,53076235354.75,37866996882.92,40866627351.98,47112470051.77,48174235294.12,42693000000.00,54825411764.71,78807470588.24,72428470588.24,74315882352.94,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.00,202999992.00,213500006.00,232749998.00,260750008.00,158994962.96,165444571.43,178297142.86,183200000.00,190205714.29,242732571.43,252842285.71,246804571.43,304339523.90,345263492.06,420986666.67,448412753.62,547535555.56,610225555.56,782496666.67,919726666.67,969046666.67,1013222222.22,1082926304.46,987143931.17,1149979285.77,1201725497.07,1131466494.01,1082403219.49,1113924130.41,1132101252.52,1167398478.35,1083037670.60,938632612.03,925030590.15,1000428393.89,869033856.32,972896267.92,893770740.21,808077223.37,870486065.88,876794723.07,825394519.42,784654423.62,915257323.40,1117113079.74,1273375078.45,1356199387.42,1611835857.05,1775495032.42,2032135192.01,2235812879.57,2327402362.82,2451624637.67,2705826648.21,2810532912.50,2618093125.15,2831362208.34,2913411408.45,2871555326.31,3227847281.32,3435598072.79,4036192552.89,3430949249.91,3082433067.33,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11810619368.39,12561701694.33,13436827166.52,14445805381.39,16168044450.25,17597783297.46,18894891312.30,20252508995.47,21654856965.43,24019653475.00,26706196046.79,29821661869.91,37209418018.51,47743801490.37,56033077879.04,65678189097.29,71113882967.61,82839905458.64,101246526194.44,116315456796.92,126829314388.19,104730018470.23,92095926187.53,87184239053.25,83349530159.17,86268264148.38,120018787249.41,149394404105.89,162299103675.26,164221056511.06,205331747947.85,210510999409.33,234781652446.68,224721795708.96,244884129491.20,288025588396.28,279201433224.76,252708051420.84,258528339631.03,258245733221.47,236792460312.47,236746141604.37,258383599375.18,318082528506.59,369214712443.21,385714762230.04,408259840868.82,470922156309.45,517328087920.08,485014525992.46,481556503720.00,527196649048.64,498414364944.96,524097026598.55,537987419164.35,461044767544.53,474271566739.73,500908767351.53,542638913427.92,536726344405.49,529694473501.79,598522422241.85,591085783326.27,651330595110.01,671370081636.41,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.43,235668220.51,236434954.04,253927697.26,269819005.88,289908680.43,302925235.15,306221953.10,326323105.26,330748244.54,333627713.49,335073027.54,410331856.99,504376074.19,554654860.70,676870140.34,698408261.92,750049778.84,928843469.43,1186231019.82,1405251846.54,1291120188.43,1267778670.36,1095348199.44,1051134008.79,1045712789.15,1336102025.28,1562412227.90,1620246083.79,1502294416.17,1959965330.15,1986437796.53,1695315305.70,2274558082.76,1598075943.87,2169627137.92,2361116449.39,2268301646.47,2455092686.35,3677393998.74,3519991440.48,3666222635.14,4194342686.22,5349258094.48,6190270380.50,6567654954.39,7034111314.89,8169048382.84,9787734526.24,9738626517.00,9535345015.78,10693321363.66,11141358115.90,12517845123.93,13284527846.91,11388160996.77,11821065853.38,12701655836.95,14262408089.93,14391686313.46,15686741883.93,17687623530.34,17425405090.86,19673291004.14,21482643706.42,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.82,350247234.26,379567099.25,394040667.11,410321644.96,422916789.75,433889766.24,450753923.55,460442689.38,478298645.39,458404268.76,482411179.12,578595521.99,674773569.88,751133430.45,939972703.46,976547188.05,1131224878.19,1475583644.94,1748480620.52,1928719888.21,1775842333.57,1754450096.24,1600278605.25,1459880132.14,1552493196.28,2036303357.68,2369834949.73,2616040478.99,2615587733.97,3101300778.56,3135045584.08,3356692505.18,3199536465.23,1895290637.10,2379517975.28,2586550595.41,2447669101.95,2804902367.15,3389566712.66,2968370087.60,3190371080.95,3622350062.96,4740768142.67,5451688537.61,6146353173.35,6547419820.38,7625722836.77,9451435490.11,9450696873.34,10109619740.70,12080295977.56,12561015156.57,13444300485.84,13943016076.74,11832159315.63,12833363045.34,14106955615.34,15890066221.29,16032813503.37,17725010532.53,19697516284.38,18622421394.61,20112614449.20,23124729853.02,
